,Company,Ticker,IPO,First Value,Last Value,Last Date,How Much
67,AKOUSTIS TECHNOLOGIES INC,AKTS,2015-06-01 00:00:00-04:00,4.949999809265137,2.7699999809265137,2023-05-05 00:00:00-04:00,-44.04040226947523
68,AKOYA BIOSCIENCES,AKYA,2021-04-01 00:00:00-04:00,22.360000610351562,8.119999885559082,2023-04-01 00:00:00-04:00,-63.685153560327144
69,ALAMO GROUP,ALG,1993-03-01 00:00:00-05:00,7.966316942898732,177.9600067138672,2023-05-05 00:00:00-04:00,2133.9056804977213
70,ALARM.COM HOLDINGS,ALRM,2015-06-01 00:00:00-04:00,16.65999984741211,45.90999984741211,2023-05-05 00:00:00-04:00,175.57022969927317
71,ALBANY INTERNATIONAL A,AIN,1987-09-01 00:00:00-04:00,9.0310392274711,91.19999694824219,2023-05-05 00:00:00-04:00,909.8505238558276
72,ALBIREO PHARMA,ALBO,*******,*******,*******,*******,*******
73,ALECTOR,ALEC,2019-02-01 00:00:00-05:00,19.860000610351562,6.550000190734863,2023-05-01 00:00:00-04:00,-67.01913399075714
74,ALERUS FINANCIAL CORP.,ALRS,2003-03-01 00:00:00-05:00,2.795313640871029,13.9399995803833,2023-05-05 00:00:00-04:00,398.69178816154425
75,ALEXANDER & BALDWIN INC.,ALEX,2012-06-01 00:00:00-04:00,15.02145271029669,19.440000534057617,2023-05-05 00:00:00-04:00,29.41491684577327
76,ALEXANDERS INC,ALX,1984-11-01 00:00:00-05:00,7.902545058208964,187.75999450683594,2023-05-01 00:00:00-04:00,2275.9433590548856
77,ALICO INC,ALCO,1984-11-01 00:00:00-05:00,7.135771091167743,23.65999984741211,2023-05-01 00:00:00-04:00,231.56892990439576
78,ALIGHT INC (A),ALIT,2020-07-01 00:00:00-04:00,10.359999656677246,9.180000305175781,2023-04-01 00:00:00-04:00,-11.38995550777774
79,ALIGNMENT HEALTHCARE,ALHC,2021-03-01 00:00:00-05:00,21.5,7.019999980926514,2023-05-05 00:00:00-04:00,-67.34883729801622
80,ALKAMI TECHNOLOGY,ALKT,2021-04-01 00:00:00-04:00,48.09000015258789,12.600000381469727,2023-04-01 00:00:00-04:00,-73.79912592744778
81,ALKERMES PLC,ALKS,1991-07-01 00:00:00-04:00,4.625,28.059999465942383,2023-04-01 00:00:00-04:00,506.702691155511
82,ALLBIRDS,BIRD,2021-11-01 00:00:00-04:00,18.3700008392334,1.2999999523162842,2023-05-01 00:00:00-04:00,-92.92324500312579
83,ALLEGHENY TECHNOLOGIES,ATI,1999-11-01 00:00:00-05:00,16.928750003883223,38.7599983215332,2023-05-01 00:00:00-04:00,128.95960016328547
84,ALLEGIANCE BANCSHARES,ABTX,*******,*******,*******,*******,*******
85,ALLEGIANT TRAVEL,ALGT,2006-12-01 00:00:00-05:00,23.76613913222895,104.68000030517578,2023-05-05 00:00:00-04:00,340.4585857330971
86,ALLETE,ALE,1984-11-01 00:00:00-05:00,3.115414022430172,62.66999816894531,2023-05-01 00:00:00-04:00,1911.610582662131
87,ALLIED MOTION TECHNOLOGIES,AMOT,1985-01-01 00:00:00-05:00,0.0,38.84000015258789,2023-04-01 00:00:00-04:00,inf
